,name,fold,auc,params,estimator
18420,abalone9_18,210,0.5712560386473431,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18421,abalone9_18,210,0.5712560386473431,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18422,abalone9_18,211,0.6476449275362319,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18423,abalone9_18,211,0.6476449275362319,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18424,abalone9_18,212,0.8278985507246377,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18425,abalone9_18,212,0.8278985507246377,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18426,abalone9_18,213,0.6440217391304348,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18427,abalone9_18,213,0.6440217391304348,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18428,abalone9_18,214,0.6411192214111922,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18429,abalone9_18,214,0.6411192214111922,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18430,abalone9_18,215,0.6932367149758453,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18431,abalone9_18,215,0.6932367149758453,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18432,abalone9_18,216,0.7210144927536232,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18433,abalone9_18,216,0.7210144927536232,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18434,abalone9_18,217,0.7282608695652175,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18435,abalone9_18,217,0.7282608695652175,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18436,abalone9_18,218,0.5996376811594203,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18437,abalone9_18,218,0.5996376811594203,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18438,abalone9_18,219,0.6666666666666666,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18439,abalone9_18,219,0.6666666666666666,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18440,abalone9_18,220,0.7077294685990339,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18441,abalone9_18,220,0.7077294685990339,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18442,abalone9_18,221,0.5371376811594203,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18443,abalone9_18,221,0.5371376811594203,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18444,abalone9_18,222,0.7391304347826088,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18445,abalone9_18,222,0.7391304347826088,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18446,abalone9_18,223,0.6141304347826086,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18447,abalone9_18,223,0.6141304347826086,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18448,abalone9_18,224,0.6966747769667476,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18449,abalone9_18,224,0.6966747769667476,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18450,abalone9_18,225,0.5893719806763286,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18451,abalone9_18,225,0.5893719806763286,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18452,abalone9_18,226,0.7210144927536232,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18453,abalone9_18,226,0.7210144927536232,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18454,abalone9_18,227,0.6730072463768116,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18455,abalone9_18,227,0.6730072463768116,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18456,abalone9_18,228,0.8496376811594203,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18457,abalone9_18,228,0.8496376811594203,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18458,abalone9_18,229,0.7376317923763179,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18459,abalone9_18,229,0.7376317923763179,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18460,abalone9_18,230,0.8043478260869564,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18461,abalone9_18,230,0.8043478260869564,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18462,abalone9_18,231,0.5778985507246377,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18463,abalone9_18,231,0.5778985507246377,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18464,abalone9_18,232,0.6657608695652174,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18465,abalone9_18,232,0.6657608695652174,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18466,abalone9_18,233,0.6693840579710144,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18467,abalone9_18,233,0.6693840579710144,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18468,abalone9_18,234,0.5928629359286294,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18469,abalone9_18,234,0.5928629359286294,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18470,abalone9_18,235,0.7077294685990339,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18471,abalone9_18,235,0.7077294685990339,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18472,abalone9_18,236,0.6730072463768116,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
18473,abalone9_18,236,0.6730072463768116,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18474,abalone9_18,237,0.6621376811594203,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
